款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,前年度決算數,本年度與上年度比較,說明
2,3,1,,0402400300,賠償收入,"2,500 ","2,500 ","3,141 ",0 ,
2,3,1,1,0402400301,一般賠償收入,"2,500 ","2,500 ","3,141 ",0 ,"本年度預算數係圖書借閱逾期、
廠商違約逾期交貨等賠償收入。"
2,4,,,0403010000,行政院,-,-,280 ,-,
2,4,1,,0403010300,賠償收入,-,-,280 ,-,
2,4,1,1,0403010301,一般賠償收入,-,-,280 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,5,,,0403100000,主計處,-,-,147 ,-,
2,5,1,,0403100300,賠償收入,-,-,147 ,-,
2,5,1,1,0403100301,一般賠償收入,-,-,147 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,6,,,0403200000,新聞局,"1,101 ","1,500 ","3,027 ",-399 ,
2,6,1,,0403200100,罰金罰鍰及怠金,"1,101 ","1,500 ","1,209 ",-399 ,
2,6,1,1,0403200101,罰金罰鍰,"1,101 ","1,500 ","1,209 ",-399 ,"本年度預算數係取締非法錄影節
目帶及電影違映之罰款收入。"
2,6,2,,0403200300,賠償收入,-,-,"1,819 ",-,
2,6,2,1,0403200301,一般賠償收入,-,-,"1,819 ",-,"前年度決算數係國片輔導金影片
未依約完成電影製作所繳交之賠
償金、廠商違約之賠償收入。"
2,7,,,0403300000,人事行政局,-,-,159 ,-,
2,7,1,,0403300300,賠償收入,-,-,159 ,-,
2,7,1,1,0403300301,一般賠償收入,-,-,159 ,-,"前年度決算數係廠商違約逾期交
貨等賠償收入。"
2,8,,,0403310000,公務人力發展中心,-,-,7 ,-,
2,8,1,,0403310300,賠償收入,-,-,7 ,-,
2,8,1,1,0403310301,一般賠償收入,-,-,7 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,9,,,0403320000,公務人員住宅及福利委員會,-,-,17 ,-,
2,9,1,,0403320300,賠償收入,-,-,17 ,-,
2,9,1,1,0403320301,一般賠償收入,-,-,17 ,-,"前年度決算數係廠商延遲履約之
賠償收入。"
2,10,,,0403330000,地方行政研習中心,-,-,3 ,-,
2,10,1,,0403330300,賠償收入,-,-,3 ,-,
2,10,1,1,0403330301,一般賠償收入,-,-,3 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,11,,,0403400000,國立故宮博物院,50 ,50 ,283 ,0 ,
2,11,1,,0403400300,賠償收入,50 ,50 ,283 ,0 ,
2,11,1,1,0403400301,一般賠償收入,50 ,50 ,283 ,0 ,"本年度預算數係廠商違約逾期交
貨之賠償收入。"
2,12,,,0403500000,經濟建設委員會,-,-,34 ,-,
2,12,1,,0403500300,賠償收入,-,-,34 ,-,
2,12,1,1,0403500301,一般賠償收入,-,-,34 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,13,,,0403520000,銀行局,-,-,1 ,-,
2,13,1,,0403520300,賠償收入,-,-,1 ,-,
2,13,1,1,0403520301,一般賠償收入,-,-,1 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,14,,,0403550000,檢查局,-,-,82 ,-,
2,14,1,,0403550300,賠償收入,-,-,82 ,-,
2,14,1,1,0403550301,一般賠償收入,-,-,82 ,-,"前年度決算數係廠商違約之賠償
收入。"
2,15,,,0403600000,中央選舉委員會及所屬,65 ,"2,320 ","3,835 ","-2,255 ",
2,15,1,,0403600100,罰金罰鍰及怠金,65 ,320 ,"3,734 ",-255 ,
2,15,1,1,0403600101,罰金罰鍰,65 ,320 ,"3,734 ",-255 ,"本年度預算數係違反公職人員選
舉罷免法之罰款收入。"
2,15,2,,0403600200,沒入及沒收財物,-,"2,000 ",-,"-2,000 ",
2,15,2,1,0403600201,沒入金,-,"2,000 ",-,"-2,000 ","上年度預算數係沒入保證金收入
。"
2,15,3,,0403600300,賠償收入,-,-,101 ,-,
2,15,3,1,0403600301,一般賠償收入,-,-,101 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,16,,,0403700000,文化建設委員會及所屬,-,-,"5,223 ",-,
2,16,1,,0403700100,罰金罰鍰及怠金,-,-,7 ,-,
2,16,1,1,0403700101,罰金罰鍰,-,-,7 ,-,"前年度決算數係廠商逾期罰款收
入。"
2,16,2,,0403700300,賠償收入,-,-,"5,216 ",-,
2,16,2,1,0403700301,一般賠償收入,-,-,"5,216 ",-,"前年度決算數係廠商逾期交貨之
賠償收入。"
2,17,,,0403750000,青年輔導委員會及所屬,-,-,218 ,-,
2,17,1,,0403750300,賠償收入,-,-,218 ,-,
2,17,1,1,0403750301,一般賠償收入,-,-,218 ,-,"前年度決算數係沒收廠商違約保
證金及退訓學員保證金收入。"
2,18,,,0403800000,研究發展考核委員會,-,-,33 ,-,
2,18,1,,0403800300,賠償收入,-,-,33 ,-,
2,18,1,1,0403800301,一般賠償收入,-,-,33 ,-,"前年度決算數係採購案廠商違約
之賠償收入。"
2,19,,,0403850000,國家通訊傳播委員會,"66,038 ","53,138 ","141,479 ","12,900 ",
2,19,1,,0403850100,罰金罰鍰及怠金,"66,038 ","53,138 ","121,805 ","12,900 ",
2,19,1,1,0403850101,罰金罰鍰,"66,038 ","53,138 ","121,805 ","12,900 ","本年度預算數係通訊傳播業者違
反電信及廣播電視相關法規之罰
款收入。"
2,19,2,,0403850200,沒入及沒收財物,-,-,31 ,-,
2,19,2,1,0403850202,沒收物變價,-,-,31 ,-,"前年度決算數係依電信法處分沒
入電信器材之變價收入。"
2,19,3,,0403850300,賠償收入,-,-,"19,643 ",-,
2,19,3,1,0403850301,一般賠償收入,-,-,"19,643 ",-,"前年度決算數係國有宿舍占用人
繳納之土地補償金收入。"
2,20,,,0403900000,大陸委員會,-,-,4 ,-,
2,20,1,,0403900300,賠償收入,-,-,4 ,-,
2,20,1,1,0403900301,一般賠償收入,-,-,4 ,-,"前年度決算數係廠商違約逾期交
貨等罰款收入。"
2,21,,,0403920000,公平交易委員會,"189,830 ","185,060 ","246,758 ","4,770 ",
2,21,1,,0403920100,罰金罰鍰及怠金,"189,830 ","185,060 ","246,740 ","4,770 ",
2,21,1,1,0403920101,罰金罰鍰,"189,830 ","185,060 ","246,740 ","4,770 ","本年度預算數係事業機構違反公
平交易法規之罰款收入。"
2,21,2,,0403920300,賠償收入,-,-,17 ,-,
2,21,2,1,0403920301,一般賠償收入,-,-,17 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,22,,,0403930000,消費者保護委員會,-,-,16 ,-,
2,22,1,,0403930300,賠償收入,-,-,16 ,-,
2,22,1,1,0403930301,一般賠償收入,-,-,16 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,23,,,0403950000,公共工程委員會,200 ,-,479 ,200 ,
2,23,1,,0403950100,罰金罰鍰及怠金,200 ,-,136 ,200 ,
2,23,1,1,0403950101,罰金罰鍰,200 ,-,136 ,200 ,"本年度預算數係違反技師法或工
程技術顧問管理條例之裁罰收入
。"
2,23,2,,0403950300,賠償收入,-,-,343 ,-,
2,23,2,1,0403950301,一般賠償收入,-,-,343 ,-,"前年度決算數係廠商違約逾期交
貨等賠償收入。"
2,24,,,0403970000,原住民族委員會,-,-,933 ,-,
2,24,1,,0403970300,賠償收入,-,-,933 ,-,
2,24,1,1,0403970301,一般賠償收入,-,-,933 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,25,,,0403960000,文化園區管理局,-,-,48 ,-,
2,25,1,,0403960300,賠償收入,-,-,48 ,-,
2,25,1,1,0403960301,一般賠償收入,-,-,48 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,26,,,0403980000,體育委員會,-,-,"1,779 ",-,
2,26,1,,0403980300,賠償收入,-,-,"1,779 ",-,
2,26,1,1,0403980301,一般賠償收入,-,-,"1,779 ",-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,27,,,0403990000,客家委員會及所屬,-,-,322 ,-,
2,27,1,,0403990300,賠償收入,-,-,322 ,-,
2,27,1,1,0403990301,一般賠償收入,-,-,322 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,28,,,0404010000,立法院,-,-,277 ,-,
2,28,1,,0404010300,賠償收入,-,-,277 ,-,
2,28,1,1,0404010301,一般賠償收入,-,-,277 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,29,,,0405010000,司法院,-,-,134 ,-,
2,29,1,,0405010300,賠償收入,-,-,134 ,-,
2,29,1,1,0405010301,一般賠償收入,-,-,134 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,30,,,0405050000,最高法院,-,-,24 ,-,
2,30,1,,0405050300,賠償收入,-,-,24 ,-,
2,30,1,1,0405050301,一般賠償收入,-,-,24 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,31,,,0405300000,臺灣高等法院,"1,960 ","1,815 ","2,141 ",145 ,
2,31,1,,0405300100,罰金罰鍰及怠金,60 ,75 ,-,-15 ,
2,31,1,1,0405300101,罰金罰鍰,60 ,75 ,-,-15 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,31,2,,0405300200,沒入及沒收財物,"1,900 ","1,500 ","2,129 ",400 ,
2,31,2,1,0405300201,沒入金,"1,900 ","1,500 ","2,129 ",400 ,"本年度預算數係沒入刑事保證金
等收入。"
2,31,3,,0405300300,賠償收入,-,240 ,13 ,-240 ,
2,31,3,1,0405300301,一般賠償收入,-,-,13 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,31,3,2,0405300302,賠償求償收入,-,240 ,-,-240 ,"上年度預算數係依據冤獄賠償法
對因故意或重大過失而違法執行
職務之公務人員行使求償等收入
。"
2,32,,,0405310000,臺灣高等法院臺中分院,300 ,720 ,319 ,-420 ,
2,32,1,,0405310100,罰金罰鍰及怠金,20 ,20 ,39 ,0 ,
2,32,1,1,0405310101,罰金罰鍰,20 ,20 ,39 ,0 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,32,2,,0405310200,沒入及沒收財物,280 ,700 ,280 ,-420 ,
2,32,2,1,0405310201,沒入金,280 ,700 ,280 ,-420 ,"本年度預算數係沒入刑事保證金
等收入。"
2,33,,,0405320000,臺灣高等法院臺南分院,510 ,150 ,498 ,360 ,
2,33,1,,0405320100,罰金罰鍰及怠金,30 ,30 ,30 ,0 ,
2,33,1,1,0405320101,罰金罰鍰,30 ,30 ,30 ,0 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,33,2,,0405320200,沒入及沒收財物,480 ,120 ,468 ,360 ,
2,33,2,1,0405320201,沒入金,480 ,120 ,468 ,360 ,"本年度預算數係沒入刑事保證金
等收入。"
2,34,,,0405330000,臺灣高等法院高雄分院,168 ,168 ,"2,450 ",0 ,
2,34,1,,0405330100,罰金罰鍰及怠金,8 ,8 ,-,0 ,
2,34,1,1,0405330101,罰金罰鍰,8 ,8 ,-,0 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,34,2,,0405330200,沒入及沒收財物,160 ,160 ,"2,450 ",0 ,
2,34,2,1,0405330201,沒入金,160 ,160 ,"2,450 ",0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,35,,,0405340000,臺灣高等法院花蓮分院,310 ,10 ,"1,210 ",300 ,
2,35,1,,0405340100,罰金罰鍰及怠金,10 ,10 ,-,0 ,
2,35,1,1,0405340101,罰金罰鍰,10 ,10 ,-,0 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,35,2,,0405340200,沒入及沒收財物,300 ,-,"1,210 ",300 ,
2,35,2,1,0405340201,沒入金,300 ,-,"1,210 ",300 ,"本年度預算數係沒入刑事保證金
等收入。"
2,36,,,0405410000,臺灣臺北地方法院,"11,852 ","13,356 ","12,669 ","-1,504 ",
2,36,1,,0405410100,罰金罰鍰及怠金,92 ,209 ,92 ,-117 ,
2,36,1,1,0405410101,罰金罰鍰,92 ,209 ,92 ,-117 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,36,2,,0405410200,沒入及沒收財物,"11,760 ","13,147 ","11,760 ","-1,387 ",
2,36,2,1,0405410201,沒入金,"11,760 ","13,147 ","11,760 ","-1,387 ","本年度預算數係沒入刑事保證金
等收入。"
2,36,3,,0405410300,賠償收入,-,-,817 ,-,
2,36,3,1,0405410301,一般賠償收入,-,-,817 ,-,"前年度決算數係有償撥用土地違
約逾期點交等之賠償收入。"
2,37,,,0405420000,臺灣士林地方法院,"4,210 ","3,627 ","4,717 ",583 ,
2,37,1,,0405420100,罰金罰鍰及怠金,45 ,45 ,60 ,0 ,
2,37,1,1,0405420101,罰金罰鍰,45 ,45 ,60 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,37,2,,0405420200,沒入及沒收財物,"4,165 ","3,582 ","4,657 ",583 ,
2,37,2,1,0405420201,沒入金,"4,165 ","3,582 ","4,657 ",583 ,"本年度預算數係沒入刑事保證金
等收入。"
2,38,,,0405430000,臺灣板橋地方法院,"14,688 ","14,712 ","16,003 ",-24 ,
2,38,1,,0405430100,罰金罰鍰及怠金,72 ,96 ,17 ,-24 ,
2,38,1,1,0405430101,罰金罰鍰,72 ,96 ,17 ,-24 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,38,2,,0405430200,沒入及沒收財物,"14,616 ","14,616 ","15,986 ",0 ,
2,38,2,1,0405430201,沒入金,"14,616 ","14,616 ","15,986 ",0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,39,,,0405470000,臺灣桃園地方法院,"3,845 ","7,021 ","6,283 ","-3,176 ",
2,39,1,,0405470100,罰金罰鍰及怠金,10 ,10 ,33 ,0 ,
2,39,1,1,0405470101,罰金罰鍰,10 ,10 ,33 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,39,2,,0405470200,沒入及沒收財物,"3,835 ","7,011 ","6,125 ","-3,176 ",
2,39,2,1,0405470201,沒入金,"3,835 ","7,011 ","6,125 ","-3,176 ","本年度預算數係沒入刑事保證金
等收入。"
2,39,3,,0405470300,賠償收入,-,-,126 ,-,
2,39,3,1,0405470301,一般賠償收入,-,-,126 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,40,,,0405480000,臺灣新竹地方法院,"2,037 ","2,037 ","3,345 ",0 ,
2,40,1,,0405480100,罰金罰鍰及怠金,9 ,9 ,-,0 ,
2,40,1,1,0405480101,罰金罰鍰,9 ,9 ,-,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,40,2,,0405480200,沒入及沒收財物,"2,028 ","2,028 ","3,345 ",0 ,
2,40,2,1,0405480201,沒入金,"2,028 ","2,028 ","3,345 ",0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,41,,,0405490000,臺灣苗栗地方法院,"1,260 ","1,260 ","3,525 ",0 ,
2,41,1,,0405490100,罰金罰鍰及怠金,30 ,30 ,38 ,0 ,
2,41,1,1,0405490101,罰金罰鍰,30 ,30 ,38 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,41,2,,0405490200,沒入及沒收財物,"1,230 ","1,230 ","3,401 ",0 ,
2,41,2,1,0405490201,沒入金,"1,230 ","1,230 ","3,401 ",0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,41,3,,0405490300,賠償收入,-,-,85 ,-,
2,41,3,1,0405490301,一般賠償收入,-,-,85 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,42,,,0405500000,臺灣臺中地方法院,"15,300 ","20,300 ","20,628 ","-5,000 ",
2,42,1,,0405500100,罰金罰鍰及怠金,300 ,300 ,959 ,0 ,
2,42,1,1,0405500101,罰金罰鍰,300 ,300 ,959 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,42,2,,0405500200,沒入及沒收財物,"15,000 ","20,000 ","19,670 ","-5,000 ",
2,42,2,1,0405500201,沒入金,"15,000 ","20,000 ","19,670 ","-5,000 ","本年度預算數係沒入刑事保證金
等收入。"
2,43,,,0405510000,臺灣南投地方法院,"1,020 ","1,050 ","1,553 ",-30 ,
2,43,1,,0405510100,罰金罰鍰及怠金,20 ,50 ,-,-30 ,
2,43,1,1,0405510101,罰金罰鍰,20 ,50 ,-,-30 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,43,2,,0405510200,沒入及沒收財物,"1,000 ","1,000 ","1,453 ",0 ,
2,43,2,1,0405510201,沒入金,"1,000 ","1,000 ","1,453 ",0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,43,3,,0405510300,賠償收入,-,-,100 ,-,
2,43,3,1,0405510301,一般賠償收入,-,-,100 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,44,,,0405520000,臺灣彰化地方法院,"3,220 ","3,100 ","2,903 ",120 ,
2,44,1,,0405520100,罰金罰鍰及怠金,420 ,300 ,508 ,120 ,
2,44,1,1,0405520101,罰金罰鍰,420 ,300 ,508 ,120 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,44,2,,0405520200,沒入及沒收財物,"2,800 ","2,800 ","2,395 ",0 ,
2,44,2,1,0405520201,沒入金,"2,800 ","2,800 ","2,395 ",0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,45,,,0405530000,臺灣雲林地方法院,"1,546 ","2,152 ","1,203 ",-606 ,
2,45,1,,0405530100,罰金罰鍰及怠金,8 ,5 ,10 ,3 ,
2,45,1,1,0405530101,罰金罰鍰,8 ,5 ,10 ,3 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,45,2,,0405530200,沒入及沒收財物,"1,538 ","2,147 ","1,193 ",-609 ,
2,45,2,1,0405530201,沒入金,"1,538 ","2,147 ","1,193 ",-609 ,"本年度預算數係沒入刑事保證金
等收入。"
2,46,,,0405540000,臺灣嘉義地方法院,"3,406 ","2,106 ","2,470 ","1,300 ",
2,46,1,,0405540100,罰金罰鍰及怠金,6 ,6 ,10 ,0 ,
2,46,1,1,0405540101,罰金罰鍰,6 ,6 ,10 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,46,2,,0405540200,沒入及沒收財物,"3,400 ","2,100 ","2,460 ","1,300 ",
2,46,2,1,0405540201,沒入金,"3,400 ","2,100 ","2,460 ","1,300 ","本年度預算數係沒入刑事保證金
等收入。"
2,47,,,0405560000,臺灣臺南地方法院,"4,040 ","3,630 ","4,626 ",410 ,
2,47,1,,0405560100,罰金罰鍰及怠金,40 ,30 ,90 ,10 ,
2,47,1,1,0405560101,罰金罰鍰,40 ,30 ,90 ,10 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,47,2,,0405560200,沒入及沒收財物,"4,000 ","3,600 ","4,536 ",400 ,
2,47,2,1,0405560201,沒入金,"4,000 ","3,600 ","4,536 ",400 ,"本年度預算數係沒入刑事保證金
等收入。"
2,48,,,0405580000,臺灣高雄地方法院,"9,970 ","10,534 ","10,031 ",-564 ,
2,48,1,,0405580100,罰金罰鍰及怠金,10 ,10 ,71 ,0 ,
2,48,1,1,0405580101,罰金罰鍰,10 ,10 ,71 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,48,2,,0405580200,沒入及沒收財物,"9,960 ","10,524 ","9,960 ",-564 ,
2,48,2,1,0405580201,沒入金,"9,960 ","10,524 ","9,960 ",-564 ,"本年度預算數係沒入刑事保證金
等收入。"
2,49,,,0405590000,臺灣屏東地方法院,"2,010 ","2,510 ","3,380 ",-500 ,
2,49,1,,0405590100,罰金罰鍰及怠金,10 ,10 ,-,0 ,
2,49,1,1,0405590101,罰金罰鍰,10 ,10 ,-,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,49,2,,0405590200,沒入及沒收財物,"2,000 ","2,500 ","3,380 ",-500 ,
2,49,2,1,0405590201,沒入金,"2,000 ","2,500 ","3,380 ",-500 ,"本年度預算數係沒入刑事保證金
等收入。"
2,50,,,0405600000,臺灣臺東地方法院,210 ,540 ,69 ,-330 ,
2,50,1,,0405600100,罰金罰鍰及怠金,10 ,10 ,-,0 ,
2,50,1,1,0405600101,罰金罰鍰,10 ,10 ,-,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,50,2,,0405600200,沒入及沒收財物,200 ,530 ,69 ,-330 ,
2,50,2,1,0405600201,沒入金,200 ,530 ,69 ,-330 ,"本年度預算數係沒入刑事保證金
等收入。"
2,51,,,0405610000,臺灣花蓮地方法院,850 ,610 ,846 ,240 ,
2,51,1,,0405610100,罰金罰鍰及怠金,10 ,10 ,-,0 ,
2,51,1,1,0405610101,罰金罰鍰,10 ,10 ,-,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,51,2,,0405610200,沒入及沒收財物,840 ,600 ,842 ,240 ,
2,51,2,1,0405610201,沒入金,840 ,600 ,842 ,240 ,"本年度預算數係沒入刑事保證金
等收入。"
2,51,3,,0405610300,賠償收入,-,-,5 ,-,
2,51,3,1,0405610301,一般賠償收入,-,-,5 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,52,,,0405620000,臺灣宜蘭地方法院,901 ,"1,345 ",545 ,-444 ,
2,52,1,,0405620100,罰金罰鍰及怠金,1 ,1 ,-,0 ,
2,52,1,1,0405620101,罰金罰鍰,1 ,1 ,-,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,52,2,,0405620200,沒入及沒收財物,900 ,"1,344 ",545 ,-444 ,
2,52,2,1,0405620201,沒入金,900 ,"1,344 ",545 ,-444 ,"本年度預算數係沒入刑事保證金
等收入。"
2,53,,,0405630000,臺灣基隆地方法院,"1,830 ","1,830 ",820 ,0 ,
2,53,1,,0405630100,罰金罰鍰及怠金,30 ,30 ,14 ,0 ,
2,53,1,1,0405630101,罰金罰鍰,30 ,30 ,14 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,53,2,,0405630200,沒入及沒收財物,"1,800 ","1,800 ",785 ,0 ,
2,53,2,1,0405630201,沒入金,"1,800 ","1,800 ",785 ,0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,53,3,,0405630300,賠償收入,-,-,21 ,-,
2,53,3,1,0405630301,一般賠償收入,-,-,21 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,54,,,0405640000,臺灣澎湖地方法院,45 ,87 ,-,-42 ,
