款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,前年度決算數,"本年度與
上年度比較",說明
2,5,1,1,0403010301,一般賠償收入,-,-,144 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,6,,,0403100000,主計處,-,-,203 ,-,
2,6,1,,0403100300,賠償收入,-,-,203 ,-,
2,6,1,1,0403100301,一般賠償收入,-,-,203 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,7,,,0403200000,新聞局,300 ,"3,000 ","7,911 ","-2,700 ",
2,7,1,,0403200100,罰金罰鍰及怠金,300 ,"3,000 ",364 ,"-2,700 ",
2,7,1,1,0403200101,罰金罰鍰,300 ,"3,000 ",364 ,"-2,700 ","本年度預算數係取締非法錄影節
目帶及電影違映之罰款收入。
"
2,7,2,,0403200300,賠償收入,-,-,"7,547 ",-,
2,7,2,1,0403200301,一般賠償收入,-,-,"7,547 ",-,"前年度決算數係國片輔導金影片
未依約完成電影製作所繳交之賠
償金、廠商違約逾期交貨之賠償
收入。
"
2,8,,,0403300000,人事行政局,-,-,387 ,-,
2,8,1,,0403300300,賠償收入,-,-,387 ,-,
2,8,1,1,0403300301,一般賠償收入,-,-,387 ,-,"前年度決算數係出國專題研究人
員，未依規定履行服務義務之賠
償收入。
"
2,9,,,0403310000,公務人力發展中心,-,-,41 ,-,
2,9,1,,0403310300,賠償收入,-,-,41 ,-,
2,9,1,1,0403310301,一般賠償收入,-,-,41 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,10,,,0403320000,公務人員住宅及福利委員會,-,-,48 ,-,
2,10,1,,0403320300,賠償收入,-,-,48 ,-,
2,10,1,1,0403320301,一般賠償收入,-,-,48 ,-,"前年度決算數係清潔外包廠商違
約之賠償收入。
"
2,11,,,0403330000,地方行政研習中心,-,-,34 ,-,
2,11,1,,0403330300,賠償收入,-,-,34 ,-,
2,11,1,1,0403330301,一般賠償收入,-,-,34 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,12,,,0403400000,國立故宮博物院,50 ,50 ,"2,140 ",-,
2,12,1,,0403400300,賠償收入,50 ,50 ,"2,140 ",-,
2,12,1,1,0403400301,一般賠償收入,50 ,50 ,"2,140 ",-,"本年度預算數係廠商違約逾期交
貨之賠償收入。
"
2,13,,,0403500000,經濟建設委員會,-,-,122 ,-,
2,13,1,,0403500300,賠償收入,-,-,122 ,-,
2,13,1,1,0403500301,一般賠償收入,-,-,122 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,14,,,0403520000,銀行局,-,-,29 ,-,
2,14,1,,0403520300,賠償收入,-,-,29 ,-,
2,14,1,1,0403520301,一般賠償收入,-,-,29 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,15,,,0403600000,中央選舉委員會及所屬,"2,320 ","19,350 ","1,012 ","-17,030 ",
2,15,1,,0403600100,罰金罰鍰及怠金,320 ,50 ,"1,009 ",270 ,
2,15,1,1,0403600101,罰金罰鍰,320 ,50 ,"1,009 ",270 ,"本年度預算數係違反總統副總統
、公職人員選舉罷免法之罰款收
入。
"
2,15,2,,0403600200,沒入及沒收財物,"2,000 ","19,300 ",-,"-17,300 ",
2,15,2,1,0403600201,沒入金,"2,000 ","19,300 ",-,"-17,300 ","本年度預算數係沒入保證金收入
。
"
2,15,3,,0403600300,賠償收入,-,-,3 ,-,
2,15,3,1,0403600301,一般賠償收入,-,-,3 ,-,"前年度決算數係廠商違反合約之
賠償收入。
"
2,16,,,0403700000,文化建設委員會及所屬,600 ,-,"4,441 ",600 ,
2,16,1,,0403700300,賠償收入,600 ,-,"4,441 ",600 ,
2,16,1,1,0403700301,一般賠償收入,600 ,-,"4,441 ",600 ,"本年度預算數係國立台中圖書館
圖書遺失損壞賠償及逾期罰款收
入。
"
2,17,,,0403750000,青年輔導委員會及所屬,-,-,300 ,-,
2,17,1,,0403750300,賠償收入,-,-,300 ,-,
2,17,1,1,0403750301,一般賠償收入,-,-,300 ,-,"前年度決算數係沒收廠商違約保
證金及退訓學員保證金收入。
"
2,18,,,0403800000,研究發展考核委員會,-,-,76 ,-,
2,18,1,,0403800300,賠償收入,-,-,76 ,-,
2,18,1,1,0403800301,一般賠償收入,-,-,76 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,19,,,0403850000,國家通訊傳播委員會,"53,138 ","57,760 ","114,733 ","-4,622 ",
2,19,1,,0403850100,罰金罰鍰及怠金,"53,138 ","57,760 ","95,518 ","-4,622 ",
2,19,1,1,0403850101,罰金罰鍰,"53,138 ","57,760 ","95,518 ","-4,622 ","本年度預算數係通訊傳播業者違
反電信及廣播電視相關法規之罰
款收入。
"
2,19,2,,0403850300,賠償收入,-,-,"19,216 ",-,
2,19,2,1,0403850301,一般賠償收入,-,-,"19,216 ",-,"前年度決算數係國有宿舍占用人
繳納之土地補償金收入。
"
2,20,,,0403900000,大陸委員會,-,-,35 ,-,
2,20,1,,0403900100,罰金罰鍰及怠金,-,-,35 ,-,
2,20,1,1,0403900101,罰金罰鍰,-,-,35 ,-,"前年度決算數係廠商違約逾期交
貨等罰款收入。
"
2,21,,,0403920000,公平交易委員會,"185,060 ","214,812 ","233,549 ","-29,752 ",
2,21,1,,0403920100,罰金罰鍰及怠金,"185,060 ","214,812 ","233,450 ","-29,752 ",
2,21,1,1,0403920101,罰金罰鍰,"185,060 ","214,812 ","233,450 ","-29,752 ","本年度預算數係事業機構違反公
平交易法規之罰款收入。
"
2,21,2,,0403920300,賠償收入,-,-,99 ,-,
2,21,2,1,0403920301,一般賠償收入,-,-,99 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,22,,,0403950000,公共工程委員會,-,-,25 ,-,
2,22,1,,0403950300,賠償收入,-,-,25 ,-,
2,22,1,1,0403950301,一般賠償收入,-,-,25 ,-,"前年度決算數係廠商違約逾期交
貨等賠償收入。
"
2,23,,,0403970000,原住民族委員會,-,-,941 ,-,
2,23,1,,0403970300,賠償收入,-,-,941 ,-,
2,23,1,1,0403970301,一般賠償收入,-,-,941 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,24,,,0403960000,文化園區管理局,-,-,253 ,-,
2,24,1,,0403960300,賠償收入,-,-,253 ,-,
2,24,1,1,0403960301,一般賠償收入,-,-,253 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,25,,,0403980000,體育委員會,-,-,942 ,-,
2,25,1,,0403980300,賠償收入,-,-,942 ,-,
2,25,1,1,0403980301,一般賠償收入,-,-,942 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,26,,,0403990000,客家委員會及所屬,-,-,659 ,-,
2,26,1,,0403990300,賠償收入,-,-,659 ,-,
2,26,1,1,0403990301,一般賠償收入,-,-,659 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,27,,,0404010000,立法院,-,-,64 ,-,
2,27,1,,0404010300,賠償收入,-,-,64 ,-,
2,27,1,1,0404010301,一般賠償收入,-,-,64 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,28,,,0405010000,司法院,-,-,"1,070 ",-,
2,28,1,,0405010300,賠償收入,-,-,"1,070 ",-,
2,28,1,1,0405010301,一般賠償收入,-,-,"1,070 ",-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,29,,,0405050000,最高法院,-,-,1 ,-,
2,29,1,,0405050300,賠償收入,-,-,1 ,-,
2,29,1,1,0405050301,一般賠償收入,-,-,1 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。
"
2,30,,,0405110000,臺北高等行政法院,-,-,108 ,-,
2,30,1,,0405110100,罰金罰鍰及怠金,-,-,18 ,-,
2,30,1,1,0405110101,罰金罰鍰,-,-,18 ,-,"前年度決算數係行政訴訟裁定之
罰款等收入。
"
2,30,2,,0405110300,賠償收入,-,-,90 ,-,
2,30,2,1,0405110301,一般賠償收入,-,-,90 ,-,"前年度決算數係依法收回公務機
車失竊之賠償收入。
"
2,31,,,0405120000,臺中高等行政法院,-,1 ,16 ,-1 ,
2,31,1,,0405120100,罰金罰鍰及怠金,-,1 ,-,-1 ,
2,31,1,1,0405120101,罰金罰鍰,-,1 ,-,-1 ,"上年度預算數係行政訴訟裁定之
罰款等收入。
"
2,31,2,,0405120300,賠償收入,-,-,16 ,-,
2,31,2,1,0405120301,一般賠償收入,-,-,16 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。
"
2,32,,,0405300000,臺灣高等法院,"1,815 ","1,475 ","2,576 ",340 ,
2,32,1,,0405300100,罰金罰鍰及怠金,75 ,35 ,95 ,40 ,
2,32,1,1,0405300101,罰金罰鍰,75 ,35 ,95 ,40 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。
"
2,32,2,,0405300200,沒入及沒收財物,"1,500 ","1,200 ","1,650 ",300 ,
2,32,2,1,0405300201,沒入金,"1,500 ","1,200 ","1,650 ",300 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,32,3,,0405300300,賠償收入,240 ,240 ,831 ,-,
2,32,3,1,0405300301,一般賠償收入,-,-,831 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。
"
2,32,3,2,0405300302,賠償求償收入,240 ,240 ,-,-,"本年度預算數係依據冤獄賠償法
對因故意或重大過失而違法執行
職務之公務人員行使求償等收入
。
"
2,33,,,0405310000,臺灣高等法院臺中分院,720 ,520 ,910 ,200 ,
2,33,1,,0405310100,罰金罰鍰及怠金,20 ,20 ,10 ,-,
2,33,1,1,0405310101,罰金罰鍰,20 ,20 ,10 ,-,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。
"
2,33,2,,0405310200,沒入及沒收財物,700 ,500 ,900 ,200 ,
2,33,2,1,0405310201,沒入金,700 ,500 ,900 ,200 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,34,,,0405320000,臺灣高等法院臺南分院,150 ,360 ,150 ,-210 ,
2,34,1,,0405320100,罰金罰鍰及怠金,30 ,-,30 ,30 ,
2,34,1,1,0405320101,罰金罰鍰,30 ,-,30 ,30 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。
"
2,34,2,,0405320200,沒入及沒收財物,120 ,360 ,120 ,-240 ,
2,34,2,1,0405320201,沒入金,120 ,360 ,120 ,-240 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,35,,,0405330000,臺灣高等法院高雄分院,168 ,168 ,550 ,-,
2,35,1,,0405330100,罰金罰鍰及怠金,8 ,8 ,-,-,
2,35,1,1,0405330101,罰金罰鍰,8 ,8 ,-,-,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。
"
2,35,2,,0405330200,沒入及沒收財物,160 ,160 ,550 ,-,
2,35,2,1,0405330201,沒入金,160 ,160 ,550 ,-,"本年度預算數係沒入刑事保證金
等收入。
"
2,36,,,0405340000,臺灣高等法院花蓮分院,10 ,10 ,20 ,-,
2,36,1,,0405340100,罰金罰鍰及怠金,10 ,10 ,-,-,
2,36,1,1,0405340101,罰金罰鍰,10 ,10 ,-,-,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。
"
2,36,2,,0405340200,沒入及沒收財物,-,-,20 ,-,
2,36,2,1,0405340201,沒入金,-,-,20 ,-,"前年度決算數係沒入刑事保證金
等收入。
"
2,37,,,0405410000,臺灣臺北地方法院,"13,356 ","13,460 ","13,361 ",-104 ,
2,37,1,,0405410100,罰金罰鍰及怠金,209 ,452 ,209 ,-243 ,
2,37,1,1,0405410101,罰金罰鍰,209 ,452 ,209 ,-243 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,37,2,,0405410200,沒入及沒收財物,"13,147 ","13,008 ","13,146 ",139 ,
2,37,2,1,0405410201,沒入金,"13,147 ","13,008 ","13,146 ",139 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,37,3,,0405410300,賠償收入,-,-,5 ,-,
2,37,3,1,0405410301,一般賠償收入,-,-,5 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,38,,,0405420000,臺灣士林地方法院,"3,627 ","3,294 ","3,368 ",333 ,
2,38,1,,0405420100,罰金罰鍰及怠金,45 ,45 ,-,-,
2,38,1,1,0405420101,罰金罰鍰,45 ,45 ,-,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,38,2,,0405420200,沒入及沒收財物,"3,582 ","3,249 ","3,368 ",333 ,
2,38,2,1,0405420201,沒入金,"3,582 ","3,249 ","3,368 ",333 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,39,,,0405430000,臺灣板橋地方法院,"14,712 ","14,484 ","14,193 ",228 ,
2,39,1,,0405430100,罰金罰鍰及怠金,96 ,84 ,126 ,12 ,
2,39,1,1,0405430101,罰金罰鍰,96 ,84 ,126 ,12 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,39,2,,0405430200,沒入及沒收財物,"14,616 ","14,400 ","14,067 ",216 ,
2,39,2,1,0405430201,沒入金,"14,616 ","14,400 ","14,067 ",216 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,40,,,0405470000,臺灣桃園地方法院,"7,021 ","7,068 ","7,051 ",-47 ,
2,40,1,,0405470100,罰金罰鍰及怠金,10 ,10 ,40 ,-,
2,40,1,1,0405470101,罰金罰鍰,10 ,10 ,40 ,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,40,2,,0405470200,沒入及沒收財物,"7,011 ","7,058 ","7,011 ",-47 ,
2,40,2,1,0405470201,沒入金,"7,011 ","7,058 ","7,011 ",-47 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,41,,,0405480000,臺灣新竹地方法院,"2,037 ","1,560 ","1,428 ",477 ,
2,41,1,,0405480100,罰金罰鍰及怠金,9 ,12 ,7 ,-3 ,
2,41,1,1,0405480101,罰金罰鍰,9 ,12 ,7 ,-3 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,41,2,,0405480200,沒入及沒收財物,"2,028 ","1,548 ","1,422 ",480 ,
2,41,2,1,0405480201,沒入金,"2,028 ","1,548 ","1,422 ",480 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,42,,,0405490000,臺灣苗栗地方法院,"1,260 ","1,237 ","2,185 ",23 ,
2,42,1,,0405490100,罰金罰鍰及怠金,30 ,12 ,68 ,18 ,
2,42,1,1,0405490101,罰金罰鍰,30 ,12 ,68 ,18 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,42,2,,0405490200,沒入及沒收財物,"1,230 ","1,225 ","2,117 ",5 ,
2,42,2,1,0405490201,沒入金,"1,230 ","1,225 ","2,117 ",5 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,43,,,0405500000,臺灣臺中地方法院,"20,300 ","15,300 ","17,291 ","5,000 ",
2,43,1,,0405500100,罰金罰鍰及怠金,300 ,300 ,356 ,-,
2,43,1,1,0405500101,罰金罰鍰,300 ,300 ,356 ,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,43,2,,0405500200,沒入及沒收財物,"20,000 ","15,000 ","16,935 ","5,000 ",
2,43,2,1,0405500201,沒入金,"20,000 ","15,000 ","16,935 ","5,000 ","本年度預算數係沒入刑事保證金
等收入。
"
2,44,,,0405510000,臺灣南投地方法院,"1,050 ","1,350 ",994 ,-300 ,
2,44,1,,0405510100,罰金罰鍰及怠金,50 ,100 ,-,-50 ,
2,44,1,1,0405510101,罰金罰鍰,50 ,100 ,-,-50 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,44,2,,0405510200,沒入及沒收財物,"1,000 ","1,250 ",994 ,-250 ,
2,44,2,1,0405510201,沒入金,"1,000 ","1,250 ",994 ,-250 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,45,,,0405520000,臺灣彰化地方法院,"3,100 ","2,900 ","2,377 ",200 ,
2,45,1,,0405520100,罰金罰鍰及怠金,300 ,100 ,381 ,200 ,
2,45,1,1,0405520101,罰金罰鍰,300 ,100 ,381 ,200 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,45,2,,0405520200,沒入及沒收財物,"2,800 ","2,800 ","1,997 ",-,
2,45,2,1,0405520201,沒入金,"2,800 ","2,800 ","1,997 ",-,"本年度預算數係沒入刑事保證金
等收入。
"
2,46,,,0405530000,臺灣雲林地方法院,"2,152 ","1,272 ","2,444 ",880 ,
2,46,1,,0405530100,罰金罰鍰及怠金,5 ,12 ,5 ,-7 ,
2,46,1,1,0405530101,罰金罰鍰,5 ,12 ,5 ,-7 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,46,2,,0405530200,沒入及沒收財物,"2,147 ","1,260 ","2,439 ",887 ,
2,46,2,1,0405530201,沒入金,"2,147 ","1,260 ","2,439 ",887 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,47,,,0405540000,臺灣嘉義地方法院,"2,106 ","1,225 ","2,079 ",881 ,
2,47,1,,0405540100,罰金罰鍰及怠金,6 ,25 ,-,-19 ,
2,47,1,1,0405540101,罰金罰鍰,6 ,25 ,-,-19 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,47,2,,0405540200,沒入及沒收財物,"2,100 ","1,200 ","2,050 ",900 ,
2,47,2,1,0405540201,沒入金,"2,100 ","1,200 ","2,050 ",900 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,47,3,,0405540300,賠償收入,-,-,29 ,-,
2,47,3,1,0405540301,一般賠償收入,-,-,29 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。
"
2,48,,,0405560000,臺灣臺南地方法院,"3,630 ","4,300 ","6,515 ",-670 ,
2,48,1,,0405560100,罰金罰鍰及怠金,30 ,5 ,30 ,25 ,
2,48,1,1,0405560101,罰金罰鍰,30 ,5 ,30 ,25 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,48,2,,0405560200,沒入及沒收財物,"3,600 ","4,295 ","6,435 ",-695 ,
2,48,2,1,0405560201,沒入金,"3,600 ","4,295 ","6,435 ",-695 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,48,3,,0405560300,賠償收入,-,-,50 ,-,
2,48,3,1,0405560301,一般賠償收入,-,-,50 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,49,,,0405580000,臺灣高雄地方法院,"10,534 ","11,347 ","14,998 ",-813 ,
2,49,1,,0405580100,罰金罰鍰及怠金,10 ,10 ,15 ,-,
2,49,1,1,0405580101,罰金罰鍰,10 ,10 ,15 ,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,49,2,,0405580200,沒入及沒收財物,"10,524 ","11,337 ","14,983 ",-813 ,
2,49,2,1,0405580201,沒入金,"10,524 ","11,337 ","14,983 ",-813 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,50,,,0405590000,臺灣屏東地方法院,"2,510 ","1,555 ","3,117 ",955 ,
2,50,1,,0405590100,罰金罰鍰及怠金,10 ,55 ,7 ,-45 ,
2,50,1,1,0405590101,罰金罰鍰,10 ,55 ,7 ,-45 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,50,2,,0405590200,沒入及沒收財物,"2,500 ","1,500 ","3,075 ","1,000 ",
2,50,2,1,0405590201,沒入金,"2,500 ","1,500 ","3,075 ","1,000 ","本年度預算數係沒入刑事保證金
等收入。
"
2,50,3,,0405590300,賠償收入,-,-,35 ,-,
2,50,3,1,0405590301,一般賠償收入,-,-,35 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。
"
2,51,,,0405600000,臺灣臺東地方法院,540 ,540 ,"1,415 ",-,
2,51,1,,0405600100,罰金罰鍰及怠金,10 ,10 ,-,-,
2,51,1,1,0405600101,罰金罰鍰,10 ,10 ,-,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,51,2,,0405600200,沒入及沒收財物,530 ,530 ,"1,354 ",-,
2,51,2,1,0405600201,沒入金,530 ,530 ,"1,354 ",-,"本年度預算數係沒入刑事保證金
等收入。
"
2,51,3,,0405600300,賠償收入,-,-,61 ,-,
2,51,3,1,0405600301,一般賠償收入,-,-,61 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。
"
2,52,,,0405610000,臺灣花蓮地方法院,610 ,610 ,749 ,-,
2,52,1,,0405610100,罰金罰鍰及怠金,10 ,10 ,3 ,-,
2,52,1,1,0405610101,罰金罰鍰,10 ,10 ,3 ,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,52,2,,0405610200,沒入及沒收財物,600 ,600 ,742 ,-,
2,52,2,1,0405610201,沒入金,600 ,600 ,742 ,-,"本年度預算數係沒入刑事保證金
等收入。
"
2,52,3,,0405610300,賠償收入,-,-,4 ,-,
2,52,3,1,0405610301,一般賠償收入,-,-,4 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。
"
2,53,,,0405620000,臺灣宜蘭地方法院,"1,345 ","1,601 ","1,214 ",-256 ,
2,53,1,,0405620100,罰金罰鍰及怠金,1 ,1 ,-,-,
2,53,1,1,0405620101,罰金罰鍰,1 ,1 ,-,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,53,2,,0405620200,沒入及沒收財物,"1,344 ","1,600 ","1,214 ",-256 ,
2,53,2,1,0405620201,沒入金,"1,344 ","1,600 ","1,214 ",-256 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,54,,,0405630000,臺灣基隆地方法院,"1,830 ","1,830 ","2,876 ",-,
2,54,1,,0405630100,罰金罰鍰及怠金,30 ,30 ,30 ,-,
2,54,1,1,0405630101,罰金罰鍰,30 ,30 ,30 ,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,54,2,,0405630200,沒入及沒收財物,"1,800 ","1,800 ","2,846 ",-,
