款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,前次決算數,本年度與上年度比較,說明
1,1,6,,0117010800,期貨交易稅,"6,768,000 ","8,500,000 ","6,341,672 ","-1,732,000 ","估計本年度收入如列數，其中臺
北市國稅局為6,276,000千元，
高雄市國稅局為 214,000千元，
臺灣省北區國稅局為94,000千元
，臺灣省中區國稅局為152,000
千元，臺灣省南區國稅局為32,0
00千元。
"
1,1,7,,0117010900,菸酒稅,"40,800,000 ","40,000,000 ","40,354,521 ","800,000 ","估計本年度收入如列數，其中臺
北市國稅局為33,000千元，高雄
市國稅局為3,797,000千元，臺
灣省北區國稅局為29,474,000千
元，臺灣省中區國稅局為9,446,
000千元，臺灣省南區國稅局為8
,250,000千元，合共51,000,000
千元，按80％計列40,800,000千
元。
"
1,1,8,,0117011100,營業稅,"147,100,000 ","136,633,000 ","145,369,079 ","10,467,000 ","估計本年度營業稅收入240,359,
478千元，依加值型及非加值型
營業稅法第58條規定，提撥統一
發票獎金之經費外，另按餘數提
列60％計139,889,000千元，合
共如列數，其中臺北市國稅局為
83,840,000千元，高雄市國稅局
為9,541,000千元，臺灣省北區
國稅局為22,768,000千元，臺灣
省中區國稅局為19,731,000千元
，臺灣省南區國稅局為11,220,0
00千元。
"
1,2,,,0126010000,經濟部,-,-,638 ,-,
1,2,1,,0126010600,礦區稅,-,-,638 ,-,"前年度決算數係開徵礦區稅及追
繳以前各期欠稅等收入。
"
2,,,,0400000000,罰款及賠償收入,"21,328,450 ","18,724,567 ","22,654,467 ","2,603,883 ",
2,1,,,0402010000,總統府,-,-,1 ,-,
2,1,1,,0402010300,賠償收入,-,-,1 ,-,
2,1,1,1,0402010301,一般賠償收入,-,-,1 ,-,"前年度決算數係員工消費合作社
逾期繳交場地租金之賠償收入。
"
2,2,,,0402300000,國史館及所屬,-,-,452 ,-,
2,2,1,,0402300300,賠償收入,-,-,452 ,-,
2,2,1,1,0402300301,一般賠償收入,-,-,452 ,-,"前年度決算數係廠商逾期交貨之
賠償收入。
"
2,3,,,0402400000,中央研究院,"1,700 ",500 ,"1,812 ","1,200 ",
2,3,1,,0402400300,賠償收入,"1,700 ",500 ,"1,812 ","1,200 ",
2,3,1,1,0402400301,一般賠償收入,"1,700 ",500 ,"1,812 ","1,200 ","本年度預算數係圖書借閱逾期、
廠商違約逾期交貨等賠償收入。
"
2,4,,,0403010000,行政院,-,-,436 ,-,
2,4,1,,0403010100,罰金罰鍰及怠金,-,-,346 ,-,
2,4,1,1,0403010101,罰金罰鍰,-,-,346 ,-,"前年度決算數係廠商違約逾期交
貨之罰款收入。
"
2,4,2,,0403010300,賠償收入,-,-,90 ,-,
2,4,2,1,0403010301,一般賠償收入,-,-,90 ,-,"前年度決算數係院區大門受損之
賠償收入。
"
2,5,,,0403100000,主計處,-,-,177 ,-,
2,5,1,,0403100100,罰金罰鍰及怠金,-,-,177 ,-,
2,5,1,1,0403100101,罰金罰鍰,-,-,177 ,-,"前年度決算數係廠商違約之罰款
收入。
"
2,6,,,0403110000,主計處電子處理資料中心,-,-,247 ,-,
2,6,1,,0403110300,賠償收入,-,-,247 ,-,
2,6,1,1,0403110301,一般賠償收入,-,-,247 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,7,,,0403200000,新聞局,500 ,"1,450 ","12,303 ",-950 ,
2,7,1,,0403200100,罰金罰鍰及怠金,500 ,"1,450 ","2,038 ",-950 ,
2,7,1,1,0403200101,罰金罰鍰,500 ,"1,450 ","2,038 ",-950 ,"本年度預算數係取締非法錄影節
目帶及電影違映之罰款收入。
"
2,7,2,,0403200300,賠償收入,-,-,"10,265 ",-,
2,7,2,1,0403200301,一般賠償收入,-,-,"10,265 ",-,"前年度決算數係廠商違約逾期交
貨及進修人員未履行服務義務等
之賠償收入。
"
2,8,,,0403300000,人事行政局,-,-,33 ,-,
2,8,1,,0403300300,賠償收入,-,-,33 ,-,
2,8,1,1,0403300301,一般賠償收入,-,-,33 ,-,"前年度決算數係廠商違約之賠償
收入。
"
2,9,,,0403310000,公務人力發展中心,-,-,225 ,-,
2,9,1,,0403310300,賠償收入,-,-,225 ,-,
2,9,1,1,0403310301,一般賠償收入,-,-,225 ,-,"前年度決算數係廠商逾期交貨之
賠償收入。
"
2,10,,,0403320000,公務人員住宅及福利委員會,-,-,19 ,-,
2,10,1,,0403320100,罰金罰鍰及怠金,-,-,19 ,-,
2,10,1,1,0403320101,罰金罰鍰,-,-,19 ,-,"前年度決算數係廠商違約之罰款
收入。
"
2,11,,,0403330000,地方行政研習中心,-,-,21 ,-,
2,11,1,,0403330100,罰金罰鍰及怠金,-,-,20 ,-,
2,11,1,1,0403330101,罰金罰鍰,-,-,20 ,-,"前年度決算數係廠商違約之罰款
收入。
"
2,11,2,,0403330300,賠償收入,-,-,1 ,-,
2,11,2,1,0403330301,一般賠償收入,-,-,1 ,-,"前年度決算數係廠商逾期交貨之
賠償收入。
"
2,12,,,0403400000,國立故宮博物院,50 ,50 ,893 ,-,
2,12,1,,0403400300,賠償收入,50 ,50 ,893 ,-,
2,12,1,1,0403400301,一般賠償收入,50 ,50 ,893 ,-,"本年度預算數係廠商違約逾期交
貨之賠償收入。
"
2,13,,,0403500000,經濟建設委員會,-,-,31 ,-,
2,13,1,,0403500300,賠償收入,-,-,31 ,-,
2,13,1,1,0403500301,一般賠償收入,-,-,31 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,14,,,0403510000,金融監督管理委員會及所屬,-,-,"539,681 ",-,
2,14,1,,0403510100,罰金罰鍰及怠金,-,-,"539,394 ",-,
2,14,1,1,0403510101,罰金罰鍰,-,-,"539,394 ",-,"前年度決算數係以前年度應收保
險業及證券期貨業之罰金罰鍰等
收入。
"
2,14,2,,0403510300,賠償收入,-,-,287 ,-,
2,14,2,1,0403510301,一般賠償收入,-,-,287 ,-,"前年度決算數係廠商違約逾期交
貨之賠償等收入。
"
2,15,,,0403600000,中央選舉委員會及所屬,"19,350 ",110 ,"39,305 ","19,240 ",
2,15,1,,0403600100,罰金罰鍰及怠金,50 ,110 ,667 ,-60 ,
2,15,1,1,0403600101,罰金罰鍰,50 ,110 ,667 ,-60 ,"本年度預算數係違反公職人員選
舉罷免法之罰款收入。
"
2,15,2,,0403600200,沒入及沒收財物,"19,300 ",-,"38,600 ","19,300 ",
2,15,2,1,0403600201,沒入金,"19,300 ",-,"38,600 ","19,300 ","本年度預算數係沒入候選人保證
金收入。
"
2,15,3,,0403600300,賠償收入,-,-,38 ,-,
2,15,3,1,0403600301,一般賠償收入,-,-,38 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,16,,,0403700000,文化建設委員會及所屬,-,-,"3,824 ",-,
2,16,1,,0403700300,賠償收入,-,-,"3,824 ",-,
2,16,1,1,0403700301,一般賠償收入,-,-,"3,824 ",-,"前年度決算數係廠商違約逾期執
行之賠償收入。
"
2,17,,,0403750000,青年輔導委員會及所屬,-,-,533 ,-,
2,17,1,,0403750300,賠償收入,-,-,533 ,-,
2,17,1,1,0403750301,一般賠償收入,-,-,533 ,-,"前年度決算數係沒收廠商違約保
證金及退訓學員保證金收入。
"
2,18,,,0403850000,國家通訊傳播委員會,"57,760 ","70,120 ","136,648 ","-12,360 ",
2,18,1,,0403850100,罰金罰鍰及怠金,"57,760 ","70,120 ","131,914 ","-12,360 ",
2,18,1,1,0403850101,罰金罰鍰,"57,760 ","70,120 ","131,914 ","-12,360 ","本年度預算數係通訊傳播業者違
反電信及廣播電視相關法規之罰
款收入。
"
2,18,2,,0403850300,賠償收入,-,-,"4,734 ",-,
2,18,2,1,0403850301,一般賠償收入,-,-,"4,734 ",-,"前年度決算數係國有宿舍占用人
繳納之土地補償金收入。
"
2,19,,,0403900000,大陸委員會,-,-,72 ,-,
2,19,1,,0403900100,罰金罰鍰及怠金,-,-,72 ,-,
2,19,1,1,0403900101,罰金罰鍰,-,-,72 ,-,"前年度決算數係廠商違約逾期交
貨等罰款收入。
"
2,20,,,0403920000,公平交易委員會,"214,812 ","102,228 ","353,648 ","112,584 ",
2,20,1,,0403920100,罰金罰鍰及怠金,"214,812 ","102,228 ","353,548 ","112,584 ",
2,20,1,1,0403920101,罰金罰鍰,"214,812 ","102,228 ","353,548 ","112,584 ","本年度預算數係對於事業機構違
反公平交易法規之罰款收入。
"
2,20,2,,0403920300,賠償收入,-,-,100 ,-,
2,20,2,1,0403920301,一般賠償收入,-,-,100 ,-,"前年度決算數係廠商逾期交貨之
賠償收入。
"
2,21,,,0403950000,公共工程委員會,-,-,85 ,-,
2,21,1,,0403950300,賠償收入,-,-,85 ,-,
2,21,1,1,0403950301,一般賠償收入,-,-,85 ,-,"前年度決算數係廠商違約逾期交
貨之賠償等收入。
"
2,22,,,0403970000,原住民族委員會及所屬,-,-,709 ,-,
2,22,1,,0403970300,賠償收入,-,-,709 ,-,
2,22,1,1,0403970301,一般賠償收入,-,-,709 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,23,,,0403980000,體育委員會,-,-,"1,132 ",-,
2,23,1,,0403980200,沒入及沒收財物,-,-,40 ,-,
2,23,1,1,0403980201,沒入金,-,-,40 ,-,"前年度決算數係沒收廠商履約保
證金。
"
2,23,2,,0403980300,賠償收入,-,-,"1,093 ",-,
2,23,2,1,0403980301,一般賠償收入,-,-,"1,093 ",-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,24,,,0403990000,客家委員會及所屬,-,-,33 ,-,
2,24,1,,0403990300,賠償收入,-,-,33 ,-,
2,24,1,1,0403990301,一般賠償收入,-,-,33 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,25,,,0404010000,立法院,-,-,428 ,-,
2,25,1,,0404010300,賠償收入,-,-,428 ,-,
2,25,1,1,0404010301,一般賠償收入,-,-,428 ,-,"前年度決算數係廠商逾期交貨之
賠償收入。
"
2,26,,,0405010000,司法院,-,-,546 ,-,
2,26,1,,0405010300,賠償收入,-,-,546 ,-,
2,26,1,1,0405010301,一般賠償收入,-,-,546 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,27,,,0405100000,最高行政法院,-,-,2 ,-,
2,27,1,,0405100300,賠償收入,-,-,2 ,-,
2,27,1,1,0405100301,一般賠償收入,-,-,2 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,28,,,0405110000,臺北高等行政法院,-,8 ,-,-8 ,
2,28,1,,0405110100,罰金罰鍰及怠金,-,8 ,-,-8 ,
2,28,1,1,0405110101,罰金罰鍰,-,8 ,-,-8 ,"上年度預算數係行政訴訟裁定之
罰款等收入。
"
2,29,,,0405120000,臺中高等行政法院,1 ,1 ,3 ,-,
2,29,1,,0405120100,罰金罰鍰及怠金,1 ,1 ,-,-,
2,29,1,1,0405120101,罰金罰鍰,1 ,1 ,-,-,"本年度預算數係行政訴訟裁定之
罰款等收入。
"
2,29,2,,0405120300,賠償收入,-,-,3 ,-,
2,29,2,1,0405120301,一般賠償收入,-,-,3 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。
"
2,30,,,0405300000,臺灣高等法院,"1,475 ","1,470 ","2,217 ",5 ,
2,30,1,,0405300100,罰金罰鍰及怠金,35 ,30 ,57 ,5 ,
2,30,1,1,0405300101,罰金罰鍰,35 ,30 ,57 ,5 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。
"
2,30,2,,0405300200,沒入及沒收財物,"1,200 ","1,200 ","2,160 ",-,
2,30,2,1,0405300201,沒入金,"1,200 ","1,200 ","2,160 ",-,"本年度預算數係沒入刑事保證金
等收入。
"
2,30,3,,0405300300,賠償收入,240 ,240 ,-,-,
2,30,3,1,0405300302,賠償求償收入,240 ,240 ,-,-,"本年度預算數係依據冤獄賠償法
對因故意或重大過失而違法執行
職務之公務人員行使求償等收入
。
"
2,31,,,0405310000,臺灣高等法院臺中分院,520 ,510 ,"3,020 ",10 ,
2,31,1,,0405310100,罰金罰鍰及怠金,20 ,10 ,20 ,10 ,
2,31,1,1,0405310101,罰金罰鍰,20 ,10 ,20 ,10 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。
"
2,31,2,,0405310200,沒入及沒收財物,500 ,500 ,"3,000 ",-,
2,31,2,1,0405310201,沒入金,500 ,500 ,"3,000 ",-,"本年度預算數係沒入刑事保證金
等收入。
"
2,32,,,0405320000,臺灣高等法院臺南分院,360 ,215 ,848 ,145 ,
2,32,1,,0405320100,罰金罰鍰及怠金,-,15 ,15 ,-15 ,
2,32,1,1,0405320101,罰金罰鍰,-,15 ,15 ,-15 ,"上年度預算數係證人無正當理由
未到庭作證等罰款收入。
"
2,32,2,,0405320200,沒入及沒收財物,360 ,200 ,830 ,160 ,
2,32,2,1,0405320201,沒入金,360 ,200 ,830 ,160 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,32,3,,0405320300,賠償收入,-,-,3 ,-,
2,32,3,1,0405320301,一般賠償收入,-,-,3 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。
"
2,33,,,0405330000,臺灣高等法院高雄分院,168 ,168 ,"1,520 ",-,
2,33,1,,0405330100,罰金罰鍰及怠金,8 ,8 ,30 ,-,
2,33,1,1,0405330101,罰金罰鍰,8 ,8 ,30 ,-,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。
"
2,33,2,,0405330200,沒入及沒收財物,160 ,160 ,"1,490 ",-,
2,33,2,1,0405330201,沒入金,160 ,160 ,"1,490 ",-,"本年度預算數係沒入刑事保證金
等收入。
"
2,34,,,0405340000,臺灣高等法院花蓮分院,10 ,10 ,-,-,
2,34,1,,0405340100,罰金罰鍰及怠金,10 ,10 ,-,-,
2,34,1,1,0405340101,罰金罰鍰,10 ,10 ,-,-,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。
"
2,35,,,0405410000,臺灣臺北地方法院,"13,460 ","8,617 ","13,461 ","4,843 ",
2,35,1,,0405410100,罰金罰鍰及怠金,452 ,124 ,449 ,328 ,
2,35,1,1,0405410101,罰金罰鍰,452 ,124 ,449 ,328 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,35,2,,0405410200,沒入及沒收財物,"13,008 ","8,493 ","13,008 ","4,515 ",
2,35,2,1,0405410201,沒入金,"13,008 ","8,493 ","13,008 ","4,515 ","本年度預算數係沒入刑事保證金
等收入。
"
2,35,3,,0405410300,賠償收入,-,-,3 ,-,
2,35,3,1,0405410301,一般賠償收入,-,-,3 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,36,,,0405420000,臺灣士林地方法院,"3,294 ","2,910 ","4,533 ",384 ,
2,36,1,,0405420100,罰金罰鍰及怠金,45 ,1 ,45 ,44 ,
2,36,1,1,0405420101,罰金罰鍰,45 ,1 ,45 ,44 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,36,2,,0405420200,沒入及沒收財物,"3,249 ","2,909 ","4,470 ",340 ,
2,36,2,1,0405420201,沒入金,"3,249 ","2,909 ","4,470 ",340 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,36,3,,0405420300,賠償收入,-,-,18 ,-,
2,36,3,1,0405420301,一般賠償收入,-,-,18 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。
"
2,37,,,0405430000,臺灣板橋地方法院,"14,484 ","12,412 ","15,357 ","2,072 ",
2,37,1,,0405430100,罰金罰鍰及怠金,84 ,52 ,209 ,32 ,
2,37,1,1,0405430101,罰金罰鍰,84 ,52 ,209 ,32 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,37,2,,0405430200,沒入及沒收財物,"14,400 ","12,360 ","15,148 ","2,040 ",
2,37,2,1,0405430201,沒入金,"14,400 ","12,360 ","15,148 ","2,040 ","本年度預算數係沒入刑事保證金
等收入。
"
2,38,,,0405470000,臺灣桃園地方法院,"7,068 ","6,756 ","7,466 ",312 ,
2,38,1,,0405470100,罰金罰鍰及怠金,10 ,31 ,1 ,-21 ,
2,38,1,1,0405470101,罰金罰鍰,10 ,31 ,1 ,-21 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,38,2,,0405470200,沒入及沒收財物,"7,058 ","6,725 ","7,466 ",333 ,
2,38,2,1,0405470201,沒入金,"7,058 ","6,725 ","7,466 ",333 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,39,,,0405480000,臺灣新竹地方法院,"1,560 ","2,316 ","1,809 ",-756 ,
2,39,1,,0405480100,罰金罰鍰及怠金,12 ,12 ,130 ,-,
2,39,1,1,0405480101,罰金罰鍰,12 ,12 ,130 ,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,39,2,,0405480200,沒入及沒收財物,"1,548 ","2,304 ","1,679 ",-756 ,
2,39,2,1,0405480201,沒入金,"1,548 ","2,304 ","1,679 ",-756 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,40,,,0405490000,臺灣苗栗地方法院,"1,237 ","1,305 ","1,237 ",-68 ,
2,40,1,,0405490100,罰金罰鍰及怠金,12 ,5 ,12 ,7 ,
2,40,1,1,0405490101,罰金罰鍰,12 ,5 ,12 ,7 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,40,2,,0405490200,沒入及沒收財物,"1,225 ","1,300 ","1,225 ",-75 ,
2,40,2,1,0405490201,沒入金,"1,225 ","1,300 ","1,225 ",-75 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,41,,,0405500000,臺灣臺中地方法院,"15,300 ","11,436 ","27,839 ","3,864 ",
2,41,1,,0405500100,罰金罰鍰及怠金,300 ,216 ,264 ,84 ,
2,41,1,1,0405500101,罰金罰鍰,300 ,216 ,264 ,84 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,41,2,,0405500200,沒入及沒收財物,"15,000 ","11,220 ","27,575 ","3,780 ",
2,41,2,1,0405500201,沒入金,"15,000 ","11,220 ","27,575 ","3,780 ","本年度預算數係沒入刑事保證金
等收入。
"
2,42,,,0405510000,臺灣南投地方法院,"1,350 ","1,350 ","1,541 ",-,
2,42,1,,0405510100,罰金罰鍰及怠金,100 ,100 ,-,-,
2,42,1,1,0405510101,罰金罰鍰,100 ,100 ,-,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,42,2,,0405510200,沒入及沒收財物,"1,250 ","1,250 ","1,541 ",-,
2,42,2,1,0405510201,沒入金,"1,250 ","1,250 ","1,541 ",-,"本年度預算數係沒入刑事保證金
等收入。
"
2,43,,,0405520000,臺灣彰化地方法院,"2,900 ","1,800 ","2,792 ","1,100 ",
2,43,1,,0405520100,罰金罰鍰及怠金,100 ,100 ,68 ,-,
2,43,1,1,0405520101,罰金罰鍰,100 ,100 ,68 ,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,43,2,,0405520200,沒入及沒收財物,"2,800 ","1,700 ","2,724 ","1,100 ",
2,43,2,1,0405520201,沒入金,"2,800 ","1,700 ","2,724 ","1,100 ","本年度預算數係沒入刑事保證金
等收入。
"
2,44,,,0405530000,臺灣雲林地方法院,"1,272 ",840 ,"1,725 ",432 ,
2,44,1,,0405530100,罰金罰鍰及怠金,12 ,120 ,5 ,-108 ,
2,44,1,1,0405530101,罰金罰鍰,12 ,120 ,5 ,-108 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,44,2,,0405530200,沒入及沒收財物,"1,260 ",720 ,"1,720 ",540 ,
2,44,2,1,0405530201,沒入金,"1,260 ",720 ,"1,720 ",540 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,45,,,0405540000,臺灣嘉義地方法院,"1,225 ","1,020 ","1,019 ",205 ,
2,45,1,,0405540100,罰金罰鍰及怠金,25 ,20 ,36 ,5 ,
2,45,1,1,0405540101,罰金罰鍰,25 ,20 ,36 ,5 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,45,2,,0405540200,沒入及沒收財物,"1,200 ","1,000 ",983 ,200 ,
2,45,2,1,0405540201,沒入金,"1,200 ","1,000 ",983 ,200 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,46,,,0405560000,臺灣臺南地方法院,"4,300 ","3,006 ","4,338 ","1,294 ",
2,46,1,,0405560100,罰金罰鍰及怠金,5 ,6 ,5 ,-1 ,
2,46,1,1,0405560101,罰金罰鍰,5 ,6 ,5 ,-1 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,46,2,,0405560200,沒入及沒收財物,"4,295 ","3,000 ","4,295 ","1,295 ",
2,46,2,1,0405560201,沒入金,"4,295 ","3,000 ","4,295 ","1,295 ","本年度預算數係沒入刑事保證金
等收入。
"
2,46,3,,0405560300,賠償收入,-,-,38 ,-,
2,46,3,1,0405560301,一般賠償收入,-,-,38 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,47,,,0405580000,臺灣高雄地方法院,"11,347 ","9,586 ","9,464 ","1,761 ",
2,47,1,,0405580100,罰金罰鍰及怠金,10 ,20 ,9 ,-10 ,
2,47,1,1,0405580101,罰金罰鍰,10 ,20 ,9 ,-10 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,47,2,,0405580200,沒入及沒收財物,"11,337 ","9,566 ","9,455 ","1,771 ",
2,47,2,1,0405580201,沒入金,"11,337 ","9,566 ","9,455 ","1,771 ","本年度預算數係沒入刑事保證金
等收入。
"
2,48,,,0405590000,臺灣屏東地方法院,"1,555 ","1,450 ","1,452 ",105 ,
2,48,1,,0405590100,罰金罰鍰及怠金,55 ,50 ,71 ,5 ,
2,48,1,1,0405590101,罰金罰鍰,55 ,50 ,71 ,5 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,48,2,,0405590200,沒入及沒收財物,"1,500 ","1,400 ","1,368 ",100 ,
2,48,2,1,0405590201,沒入金,"1,500 ","1,400 ","1,368 ",100 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,48,3,,0405590300,賠償收入,-,-,13 ,-,
2,48,3,1,0405590301,一般賠償收入,-,-,13 ,-,"前年度決算數係清潔維護廠商違
約之賠償收入。
"
2,49,,,0405600000,臺灣臺東地方法院,540 ,467 ,541 ,73 ,
2,49,1,,0405600100,罰金罰鍰及怠金,10 ,30 ,-,-20 ,
2,49,1,1,0405600101,罰金罰鍰,10 ,30 ,-,-20 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,49,2,,0405600200,沒入及沒收財物,530 ,437 ,541 ,93 ,
2,49,2,1,0405600201,沒入金,530 ,437 ,541 ,93 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,50,,,0405610000,臺灣花蓮地方法院,610 ,610 ,514 ,-,
2,50,1,,0405610100,罰金罰鍰及怠金,10 ,10 ,2 ,-,
2,50,1,1,0405610101,罰金罰鍰,10 ,10 ,2 ,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,50,2,,0405610200,沒入及沒收財物,600 ,600 ,512 ,-,
2,50,2,1,0405610201,沒入金,600 ,600 ,512 ,-,"本年度預算數係沒入刑事保證金
等收入。
"
2,51,,,0405620000,臺灣宜蘭地方法院,"1,601 ","1,301 ","1,324 ",300 ,
2,51,1,,0405620100,罰金罰鍰及怠金,1 ,1 ,13 ,-,
2,51,1,1,0405620101,罰金罰鍰,1 ,1 ,13 ,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,51,2,,0405620200,沒入及沒收財物,"1,600 ","1,300 ","1,311 ",300 ,
2,51,2,1,0405620201,沒入金,"1,600 ","1,300 ","1,311 ",300 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,52,,,0405630000,臺灣基隆地方法院,"1,830 ","1,530 ","2,136 ",300 ,
2,52,1,,0405630100,罰金罰鍰及怠金,30 ,30 ,-,-,
2,52,1,1,0405630101,罰金罰鍰,30 ,30 ,-,-,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。
"
2,52,2,,0405630200,沒入及沒收財物,"1,800 ","1,500 ","2,099 ",300 ,
2,52,2,1,0405630201,沒入金,"1,800 ","1,500 ","2,099 ",300 ,"本年度預算數係沒入刑事保證金
等收入。
"
2,52,3,,0405630300,賠償收入,-,-,37 ,-,
2,52,3,1,0405630301,一般賠償收入,-,-,37 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
